date,value
2010-03-03,4.00
2010-04-07,4.25
2010-05-05,4.50
2010-11-03,4.75
2011-11-02,4.50
2011-12-07,4.25
2012-05-02,3.75
2012-06-06,3.50
2012-10-03,3.25
2012-12-05,3.00
2013-05-08,2.75
2013-08-07,2.50
2015-02-04,2.25
2015-05-06,2.00
2016-05-04,1.75
2016-08-03,1.50
2019-06-05,1.25
2019-07-03,1.00
2019-10-02,0.75
2020-03-04,0.50
2020-03-20,0.25
2020-11-04,0.10
2022-05-04,0.35
2022-06-08,0.85
2022-07-06,1.35
2022-08-03,1.85
2022-09-07,2.35
2022-10-05,2.60
2022-11-02,2.85
2022-12-07,3.10
2023-02-08,3.35
2023-03-08,3.60
2023-05-03,3.85
2023-06-07,4.10
2023-11-08,4.35
2025-02-19,4.10
2025-05-21,3.85
2025-08-13,3.60
2025-11-05,3.60
